noaa,icao
722090,KLHW
722109,KCNI
722130,KAYS
722134,KVDI
722136,KBQK
722137,KSSI
722147,KMGR
722154,KDNN
722156,KVPC
722160,KABY
722166,KVLD
722170,KMCN
722175,KWRB
722176,KCCO
722180,KAGS
722181,KDNL
722185,KGVL
722190,KATL
722195,KFTY
722196,KPDK
722197,KFFC
722217,KDBN
722250,KLSF
722255,KCSG
722270,KMGE
722691,KCWV
723110,KAHN
723160,KAMG
723200,KRMG
725258,KTOC
747804,KSVN
747805,KTBR
747806,KOPN
747807,KLGC
747808,KLZU
747809,KWDR
747810,KVAD
747812,KRYY
749483,K19A
911620,PHBK
911650,PHLI
911700,PHHI
911760,PHNG
911780,PHJR
911820,PHNL
911860,PHMK
911900,PHOG
911904,PHJH
911905,PHNY
911907,PHHN
911975,PHKO
911977,PHSF
912850,PHTO
720293,KIIB
720309,KMPZ
720312,KPEA
720326,KVTI
720344,KCKP
720351,KOOA
720412,KPRO
720643,KFXY
720701,KI75
722097,KHNR
722274,KTVK
722331,KIFA
725292,KGGI
725420,KBRL
725450,KCID
725453,KAIO
725454,KAWG
725456,KEOK
725457,KAXA
725458,KCAV
725460,KDSM
725461,KMIW
725462,KIOW
725463,KCCY
725464,KTNU
725465,KOTM
725466,KIKV
725467,KSDA
725468,KCIN
725469,KCNC
725470,KDBQ
725472,KAMW
725473,KCWI
725474,KCSQ
725475,KMXO
725476,KDEH
725477,KDNS
725478,KEBS
725479,KICL
725480,KALO
725483,KFSW
725484,KLRJ
725485,KMCW
725486,KBNW
725487,KMUT
725488,KOLZ
725489,KORC
725490,KFOD
725493,KOXV
725494,KRDK
725495,KSHL
725496,KSLB
725497,KCBF
725498,KADU
725499,KLWD
725570,KSUX
726498,KFFL
726499,KEST
726500,KSPW
744550,KDVN
720322,KSZT
720369,KDIJ
720734,KMAN
720923,K65S
722142,KLLJ
725780,KPIH
725784,KP69
725785,KIDA
725786,KMLD
725864,KMYL
725865,KSUN
725866,KTWF
725867,KBYI
726810,KBOI
726813,KEUL
726815,KMUO
726816,KJER
726817,KMLP
726818,KRXE
726824,KSNT
726865,KSMN
726873,KGIC
727830,KLWS
727834,KCOE
