iata,icao,noaa
WBU,KBDU,720533
BDL,KBDL,725080
BDR,KBDR,725040
DXR,KDXR,725086
GON,KGON,725046
HFD,KHFD,725087
HVN,KHVN,725045
OXC,KOXC,725029
DOV,KDOV,724088
GED,KGED,724093
ILG,KILG,724180
AAF,KAAF,722200
APF,KAPF,722038
AVO,KAVO,
BCT,KBCT,722022
BOW,KBOW,722123
CDK,KCDK,
CEW,KCEW,722215
CLW,KCLW,
COF,KCOF,747950
COI,KCOI,
CRG,KCRG,747820
CTY,KCTY,722120
DAB,KDAB,747870
DSI,KDTS,722069
ECP,KECP,720735
EGI,KEGI,722246
EYW,KEYW,722010
FLL,KFLL,747830
FMY,KFMY,722106
FPR,KFPR,722103
FXE,KFXE,722039
GIF,KGIF,747931
GNV,KGNV,747560
HST,KHST,722026
HWO,KHWO,722037
IMM,KIMM,
ISM,KISM,722011
JAX,KJAX,722060
LAL,KLAL,722119
LCQ,KLCQ,
LEE,KLEE,722213
LNA,KLNA,
MCF,KMCF,747880
MCO,KMCO,722050
MIA,KMIA,722020
MLB,KMLB,722040
MRK,KMKY,721041
MTH,KMTH,722016
NEN,KNEN,A00023
NIP,KNIP,722065
NPA,KNPA,722225
NQX,KNQX,722015
NRB,KNRB,722066
NSE,KNSE,722226
NUN,KNUN,
OBE,KOBE,722261
OCF,KOCF,722055
OPF,KOPF,722024
ORL,KORL,722053
PAM,KPAM,747750
PBI,KPBI,722030
PGD,KPGD,722034
PHK,KPHK,
PIE,KPIE,722116
PNS,KPNS,722223
PPM,KPMP,722049
RSW,KRSW,722108
SEF,KSEF,749045
SFB,KSFB,722057
SPG,KSPG,722104
SRQ,KSRQ,722115
SUA,KSUA,722189
TIX,KTIX,722046
TLH,KTLH,722140
TMB,KTMB,722029
TNT,KTNT,
TPA,KTPA,722110
TPF,KTPF,720374
UST,KSGJ,722212
VNC,KVNC,722118
VPS,KVPS,722210
VQQ,KVQQ,722067
VRB,KVRB,747930
ZPH,KZPH,721042
ABY,KABY,722160
AGS,KAGS,722180
AHN,KAHN,723110
ATL,KATL,722190
AYS,KAYS,722130
BGE,KBGE,720268
BQK,KBQK,722136
CSG,KCSG,722255
DBN,KDBN,722217
DNL,KDNL,722181
DNN,KDNN,722154
FTY,KFTY,722195
GVL,KGVL,722185
LGC,KLGC,747807
LIY,KLHW,722090
LSF,KLSF,722250
LZU,KLZU,747808
MAC,KMAC,
MCN,KMCN,722170
MGE,KMGE,722270
MGR,KMGR,722147
MLJ,KMLJ,720348
MQW,KMQW,
MUL,KMUL,
PDK,KPDK,722196
PIM,KPIM,
RMG,KRMG,723200
SAV,KSAV,722070
SSI,KSSI,722137
SVN,KSVN,747804
SYV,KSYV,
TBR,KTBR,747805
TMA,KTMA,720712
TOC,KTOC,725258
TVI,KTVI,720738
VAD,KVAD,747810
VDI,KVDI,722134
VLD,KVLD,722166
WDR,KWDR,747809
WRB,KWRB,722175
BKH,PHBK,911620
